features,model,r2_score,mae
"('employment_type', 'job_title', 'salary', 'salary_currency', 'company_size')",CatBoost,0.9952519490888256,1495.1227557411273
"('work_year', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",ExtraTrees,0.9951871831020189,922.6094711538461
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'company_size')",ExtraTrees,0.995147726297423,854.3351442307691
"('experience_level', 'salary', 'salary_currency', 'company_size')",CatBoost,0.995083683252872,1480.6628666324043
"('experience_level', 'employment_type', 'salary', 'salary_currency', 'company_size')",CatBoost,0.9950354430282817,1481.881527744879
"('work_year', 'salary', 'salary_currency', 'remote_ratio')",ExtraTrees,0.995021736697264,832.9583653846158
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",CatBoost,0.9949950608198173,1461.5010945648355
"('work_year', 'salary', 'salary_currency', 'company_size')",CatBoost,0.9949841990003925,1340.1427382330062
"('experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",ExtraTrees,0.9949551553246868,974.133701923077
"('work_year', 'salary', 'salary_currency', 'company_size')",ExtraTrees,0.9949231794606362,820.2918269230767
"('work_year', 'employment_type', 'salary', 'salary_currency')",ExtraTrees,0.9949196823999024,756.7339423076921
"('experience_level', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",CatBoost,0.9949123696473372,1560.2952370940793
"('employment_type', 'salary', 'salary_currency')",CatBoost,0.9948969897755073,1493.951112831454
"('work_year', 'experience_level', 'salary', 'salary_currency', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.9948962389670546,1551.1426605119009
"('work_year', 'job_title', 'salary', 'salary_currency', 'company_size')",ExtraTrees,0.9948649722880206,871.3639903846152
"('work_year', 'employment_type', 'salary', 'salary_currency', 'company_size')",ExtraTrees,0.9947489021615494,812.4727884615386
"('employment_type', 'salary', 'salary_currency', 'remote_ratio')",CatBoost,0.9947233154953283,1472.4357448231563
"('experience_level', 'salary', 'salary_currency', 'employee_residence', 'company_size')",CatBoost,0.9947156091820901,1749.594139001959
"('work_year', 'employment_type', 'salary', 'salary_currency', 'remote_ratio')",ExtraTrees,0.9946911519652478,861.7103846153849
"('experience_level', 'employment_type', 'salary', 'salary_currency', 'remote_ratio')",ExtraTrees,0.9946894354332355,894.9917227564094
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio')",ExtraTrees,0.9946857323036442,953.4555288461542
