features,model,r2_score,mae
"('experience_level', 'salary', 'employee_residence')",XGB,0.9212818418195682,3537.6395204984224
"('work_year', 'experience_level', 'employment_type', 'salary', 'employee_residence')",XGB,0.9212247134773224,3226.1028712346006
"('job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",XGB,0.9210529112132958,3540.4813561072715
"('employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",XGB,0.9210504524529528,3501.5162306565503
"('work_year', 'experience_level', 'job_title', 'salary', 'employee_residence', 'remote_ratio')",AdaBoost,0.9210388575051645,10036.895714048012
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio')",XGB,0.9210365507215789,3269.7117661696216
"('employment_type', 'job_title', 'salary', 'employee_residence', 'company_location')",XGB,0.92101107677291,3526.564784123347
"('experience_level', 'employment_type', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",XGB,0.9209539793224395,3448.9042613689717
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_size')",AdaBoost,0.9208805696420387,9364.067022172705
"('work_year', 'experience_level', 'salary', 'employee_residence')",XGB,0.9208750993769136,3263.1633746807393
"('work_year', 'experience_level', 'job_title', 'salary', 'employee_residence')",XGB,0.9208296435934622,3269.712760925293
"('job_title', 'salary', 'employee_residence', 'company_location')",XGB,0.9207286500912296,3513.092768742488
"('work_year', 'job_title', 'salary', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9207110236503498,11226.36327818147
"('experience_level', 'salary', 'employee_residence', 'remote_ratio')",XGB,0.9205107974423035,3547.1114196777344
"('job_title', 'salary', 'salary_currency', 'remote_ratio')",AdaBoost,0.9204088923565129,12383.392736777538
"('work_year', 'experience_level', 'employment_type', 'salary', 'employee_residence', 'remote_ratio', 'company_size')",AdaBoost,0.9203745310754783,9845.317706598154
"('work_year', 'experience_level', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9203071821699255,10928.301301570811
"('work_year', 'experience_level', 'employment_type', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9201591867484008,11847.159981782166
"('work_year', 'employment_type', 'job_title', 'salary', 'employee_residence')",XGB,0.920101558669612,3359.1113979633037
"('experience_level', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",XGB,0.9198562992450031,3423.1986177884614
"('experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",XGB,0.9198380846648824,3436.541996882512
"('job_title', 'salary', 'employee_residence')",XGB,0.9198182458197504,3652.557837853065
"('work_year', 'experience_level', 'employment_type', 'salary', 'employee_residence')",AdaBoost,0.919816861068169,11678.546013327468
"('work_year', 'employment_type', 'job_title', 'salary', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9197512446823699,12061.017571759101
"('experience_level', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",XGB,0.919728164858151,3479.054978590745
"('salary', 'employee_residence')",AdaBoost,0.919623670981493,12261.29342184335
"('work_year', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9195622963595826,9523.90409734514
"('work_year', 'experience_level', 'employment_type', 'salary', 'employee_residence', 'company_size')",AdaBoost,0.9195164698705534,10244.052776164443
"('work_year', 'employment_type', 'job_title', 'salary', 'company_location', 'company_size')",AdaBoost,0.9193884869747962,11710.780860502638
"('salary', 'company_size')",AdaBoost,0.9193678705453546,11353.498228677889
"('work_year', 'experience_level', 'salary', 'employee_residence', 'company_location', 'company_size')",AdaBoost,0.9193209543399705,9989.75560477226
"('work_year', 'experience_level', 'salary', 'employee_residence', 'remote_ratio')",AdaBoost,0.9193059433517363,10397.08004890846
"('work_year', 'salary', 'employee_residence')",XGB,0.919257357458822,3269.432087824895
"('salary', 'employee_residence', 'company_location', 'company_size')",AdaBoost,0.9191981478215827,10995.290305166094
"('experience_level', 'employment_type', 'salary', 'employee_residence', 'remote_ratio', 'company_size')",AdaBoost,0.9191885851138412,11176.834473195455
"('employment_type', 'salary', 'company_size')",AdaBoost,0.9191500356404066,11370.202188364454
"('work_year', 'experience_level', 'salary', 'employee_residence', 'remote_ratio', 'company_size')",AdaBoost,0.9190733967918892,11160.781524160016
"('work_year', 'experience_level', 'employment_type', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",AdaBoost,0.9190328237746864,11537.094526121406
"('experience_level', 'employment_type', 'salary', 'employee_residence', 'company_location')",XGB,0.9188531961203104,3549.841063279372
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence')",XGB,0.9187760281805586,3355.890562791091
"('work_year', 'employment_type', 'salary', 'employee_residence')",XGB,0.9187317376170633,3323.6626704289365
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'company_location', 'company_size')",AdaBoost,0.9186630589218703,12248.94142456484
"('experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence', 'company_location')",XGB,0.9186393187077033,3487.151860163762
"('experience_level', 'salary', 'employee_residence', 'company_location')",XGB,0.918512913791645,3547.823729294997
"('experience_level', 'job_title', 'salary', 'employee_residence', 'company_location')",XGB,0.9185111274776839,3532.66413292518
"('experience_level', 'salary', 'company_location')",AdaBoost,0.9184714073752649,13066.562043251555
"('work_year', 'salary', 'employee_residence', 'company_size')",AdaBoost,0.9176194125577531,11164.029945958137
"('work_year', 'salary', 'employee_residence', 'company_location', 'company_size')",AdaBoost,0.9170362986396553,9954.663123256729
"('work_year', 'employment_type', 'salary', 'remote_ratio', 'company_location')",AdaBoost,0.9168993329032087,12065.681154863985
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",AdaBoost,0.9168641817298648,10408.962007111471
"('salary', 'employee_residence', 'company_location')",XGB,0.9168093584243688,3615.1525403536284
"('work_year', 'salary', 'employee_residence', 'company_location')",AdaBoost,0.9162192625563068,10091.749860305446
"('job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",AdaBoost,0.9158841229360587,10333.978365900704
"('employment_type', 'salary', 'employee_residence', 'company_location')",XGB,0.9152848082863831,3621.097321143517
"('work_year', 'experience_level', 'job_title', 'salary')",AdaBoost,0.9150605394237364,11096.905695101292
"('job_title', 'salary', 'employee_residence', 'company_location', 'company_size')",AdaBoost,0.9148323853975198,10499.03462907312
"('experience_level', 'salary', 'employee_residence')",AdaBoost,0.914758027594322,12091.00515129128
"('job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9145729374351329,10033.410854467453
"('work_year', 'experience_level', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",AdaBoost,0.9142249158629128,11168.81225189308
"('work_year', 'experience_level', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_size')",AdaBoost,0.9141183942526127,11112.200364872133
"('work_year', 'experience_level', 'salary', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9139631105544416,12586.853886346633
"('salary', 'remote_ratio')",AdaBoost,0.9139400504639095,11740.263553051369
"('employment_type', 'salary', 'remote_ratio')",AdaBoost,0.9139400504639095,11740.263553051369
"('work_year', 'experience_level', 'salary', 'employee_residence', 'company_size')",AdaBoost,0.913806885608699,12258.668434107462
"('work_year', 'employment_type', 'salary', 'employee_residence', 'company_location', 'company_size')",AdaBoost,0.9137861955749872,9838.865414992095
"('employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio')",AdaBoost,0.9136631931763824,10573.606848985535
"('salary', 'employee_residence', 'company_size')",AdaBoost,0.9135364291272436,10036.158409434469
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9132363054368089,12737.680536664677
"('employment_type', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",AdaBoost,0.9131713823945606,10487.633246289046
"('work_year', 'employment_type', 'job_title', 'salary', 'employee_residence', 'company_location')",AdaBoost,0.9131667736354431,9606.11340040129
"('work_year', 'salary', 'employee_residence', 'remote_ratio')",AdaBoost,0.9130729274968764,10571.872432813143
"('work_year', 'job_title', 'salary', 'employee_residence')",AdaBoost,0.9128421805554884,10781.860210705177
"('experience_level', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9128317323247014,13292.192535354046
"('work_year', 'experience_level', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",AdaBoost,0.9125357370405554,10910.22474492845
"('job_title', 'salary', 'employee_residence', 'company_size')",AdaBoost,0.912459020582799,11866.451892102175
"('work_year', 'experience_level', 'employment_type', 'salary', 'company_location', 'company_size')",AdaBoost,0.9123152138503172,12506.834605561333
"('work_year', 'employment_type', 'job_title', 'salary', 'employee_residence')",AdaBoost,0.9121550723397436,9912.458168069697
"('employment_type', 'job_title', 'salary', 'employee_residence', 'company_location', 'company_size')",AdaBoost,0.9121151673206896,11405.623573973542
"('work_year', 'experience_level', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9120473899635567,11341.09273526385
"('work_year', 'job_title', 'salary', 'employee_residence', 'company_location', 'company_size')",AdaBoost,0.9117820254104885,10064.098400392155
"('work_year', 'job_title', 'salary', 'employee_residence', 'company_location')",AdaBoost,0.911214061246701,10135.116899673187
"('work_year', 'employment_type', 'job_title', 'salary', 'employee_residence', 'company_size')",AdaBoost,0.9101750963220239,10560.252017725794
"('experience_level', 'employment_type', 'salary', 'employee_residence', 'remote_ratio')",AdaBoost,0.9099999732130413,11883.952423680863
"('work_year', 'employment_type', 'job_title', 'salary', 'remote_ratio')",AdaBoost,0.9099139088960114,11939.4171945293
"('work_year', 'job_title', 'salary', 'company_size')",AdaBoost,0.9097990367360299,11914.695631219889
"('work_year', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_size')",AdaBoost,0.9094694243453795,10697.253458178884
"('work_year', 'job_title', 'salary', 'company_location', 'company_size')",AdaBoost,0.909016627310066,13322.09681122613
"('work_year', 'salary', 'employee_residence', 'remote_ratio', 'company_size')",AdaBoost,0.9086656270634561,10703.10374757097
"('work_year', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.908642403821739,9523.20365201647
"('work_year', 'employment_type', 'salary', 'employee_residence', 'remote_ratio')",AdaBoost,0.9083665056395394,10692.67677701735
"('salary', 'employee_residence', 'remote_ratio')",AdaBoost,0.9080957607555257,11093.901073799536
"('employment_type', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9074881051363656,10172.171187048367
"('work_year', 'experience_level', 'employment_type', 'salary', 'remote_ratio')",AdaBoost,0.9068295367698553,11891.650568941424
"('work_year', 'experience_level', 'employment_type', 'salary', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9065043022907948,13054.28366879792
"('work_year', 'job_title', 'salary', 'remote_ratio')",AdaBoost,0.90645051637956,12013.704402367064
"('work_year', 'employment_type', 'job_title', 'salary', 'remote_ratio')",ExtraTrees,0.905557341357013,5685.323439789377
"('work_year', 'experience_level', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.9055217707822248,11733.254542176208
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'remote_ratio')",AdaBoost,0.9053291087025135,12266.31253406624
"('employment_type', 'salary', 'employee_residence', 'company_location', 'company_size')",AdaBoost,0.905112386374215,10781.04388084285
"('employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9050892878038603,11178.179950583262
"('work_year', 'experience_level', 'job_title', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.9045455550421038,12362.228308419666
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9045142473262548,12516.010680693655
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.904283122018079,12657.982751358057
"('work_year', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",AdaBoost,0.904258338142346,9754.126253330296
"('work_year', 'employment_type', 'job_title', 'salary', 'company_size')",AdaBoost,0.9042173276058042,12427.205765434519
"('work_year', 'experience_level', 'job_title', 'salary', 'employee_residence', 'company_location', 'company_size')",AdaBoost,0.9038232619803624,11741.742788155407
"('work_year', 'employment_type', 'salary', 'remote_ratio')",AdaBoost,0.9034431709517731,12125.332322658554
"('work_year', 'salary', 'remote_ratio')",AdaBoost,0.9034431709517731,12125.332322658554
"('work_year', 'employment_type', 'job_title', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.9033559161871394,12361.834299572918
"('work_year', 'employment_type', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.9032377834331673,12183.671001905128
"('work_year', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.9032377834331673,12183.671001905128
"('work_year', 'employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.9015773450422376,11506.036223031675
"('work_year', 'experience_level', 'employment_type', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.9007401480089486,12227.41330112924
"('work_year', 'job_title', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.9006126636043901,12953.287530847163
"('work_year', 'employment_type', 'salary', 'employee_residence', 'company_location')",AdaBoost,0.9004241428150042,10975.436460614505
"('work_year', 'employment_type', 'job_title', 'salary')",AdaBoost,0.8995158174020422,12582.914176007043
"('work_year', 'job_title', 'salary')",AdaBoost,0.8995158174020422,12582.914176007043
"('work_year', 'job_title', 'salary', 'remote_ratio')",ExtraTrees,0.898445772356951,5921.420659340658
"('work_year', 'salary', 'company_size')",AdaBoost,0.8983410188856744,12106.097147507255
"('work_year', 'employment_type', 'salary', 'company_size')",AdaBoost,0.8983410188856744,12106.097147507255
"('work_year', 'employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",AdaBoost,0.8980159027774228,10336.379239101983
"('experience_level', 'job_title', 'salary', 'company_size')",AdaBoost,0.8979105719930992,13533.375364470421
"('experience_level', 'employment_type', 'job_title', 'salary', 'company_size')",AdaBoost,0.8979105719930992,13533.375364470421
"('work_year', 'experience_level', 'job_title', 'salary', 'remote_ratio')",AdaBoost,0.8974658907030377,12863.085529362435
"('work_year', 'employment_type', 'salary', 'employee_residence', 'remote_ratio', 'company_size')",AdaBoost,0.896016780218549,12391.589955604131
"('experience_level', 'employment_type', 'salary')",AdaBoost,0.8956518127042861,13028.738247806335
"('experience_level', 'salary')",AdaBoost,0.8956518127042861,13028.738247806335
"('work_year', 'experience_level', 'employment_type', 'salary', 'company_size')",AdaBoost,0.8956050393714755,13635.858247867749
"('work_year', 'employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio')",AdaBoost,0.8955641125665914,9891.033648524473
"('work_year', 'experience_level', 'salary', 'remote_ratio')",AdaBoost,0.8953299710775464,12285.062048122207
"('work_year', 'experience_level', 'job_title', 'salary', 'company_size')",AdaBoost,0.8938285241732409,13378.386919977851
"('experience_level', 'employment_type', 'salary', 'company_size')",AdaBoost,0.8924442564019983,13014.623147333565
"('experience_level', 'salary', 'company_size')",AdaBoost,0.8924442564019983,13014.623147333565
"('employment_type', 'job_title', 'salary', 'remote_ratio')",AdaBoost,0.8923817313469657,13166.04163432364
"('job_title', 'salary', 'remote_ratio')",AdaBoost,0.8923817313469657,13166.04163432364
"('work_year', 'experience_level', 'salary', 'company_size')",AdaBoost,0.8916468615420791,14032.51938071059
"('work_year', 'experience_level', 'employment_type', 'salary', 'employee_residence', 'remote_ratio')",AdaBoost,0.8915335805897345,12311.204941107788
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'company_size')",AdaBoost,0.8911160892782664,13907.324083668063
"('work_year', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",AdaBoost,0.8905064240044672,11238.86424320735
"('employment_type', 'salary', 'employee_residence', 'remote_ratio')",AdaBoost,0.8901316032984067,10958.71011599849
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary')",AdaBoost,0.8901171576480622,13712.1483820249
"('work_year', 'employment_type', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.8895058444722893,11947.306007359575
"('work_year', 'job_title', 'salary', 'employee_residence', 'company_size')",AdaBoost,0.8891412633928185,12086.870500356183
"('employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_size')",AdaBoost,0.8882234405932485,11398.36440571747
"('work_year', 'employment_type', 'salary')",AdaBoost,0.8878920869600524,12435.711732303937
"('work_year', 'salary')",AdaBoost,0.8878920869600524,12435.711732303937
"('work_year', 'experience_level', 'salary')",AdaBoost,0.8878581074529466,13401.403395820145
"('work_year', 'experience_level', 'employment_type', 'salary')",AdaBoost,0.8878581074529466,13401.403395820145
"('work_year', 'experience_level', 'employment_type', 'salary', 'employee_residence', 'company_location')",AdaBoost,0.8873403842802952,12318.939280540884
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence')",AdaBoost,0.8868651305819362,12320.550540610613
"('job_title', 'salary', 'employee_residence', 'company_location')",AdaBoost,0.8864274246108277,10845.203458597221
"('job_title', 'salary', 'employee_residence')",AdaBoost,0.8856632804255236,10119.440107206045
"('work_year', 'experience_level', 'job_title', 'salary', 'employee_residence', 'company_location')",AdaBoost,0.8853094382172917,12345.436176581728
"('work_year', 'employment_type', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",AdaBoost,0.8829639703542876,11479.742300435008
"('work_year', 'job_title', 'salary', 'employee_residence', 'remote_ratio')",AdaBoost,0.8817979499037685,10928.940450402599
"('employment_type', 'job_title', 'salary', 'employee_residence', 'company_location')",AdaBoost,0.8791920059986867,10772.476670290196
"('work_year', 'employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_size')",AdaBoost,0.8778108012377615,11756.291316194907
"('employment_type', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.8754156391188741,14064.900594220557
"('salary', 'remote_ratio', 'company_size')",AdaBoost,0.8754156391188741,14064.900594220557
"('experience_level', 'job_title', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.8748655702887171,14691.106037833484
"('experience_level', 'employment_type', 'job_title', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.8748655702887171,14691.106037833484
"('experience_level', 'job_title', 'salary', 'remote_ratio')",AdaBoost,0.87469195583263,14116.520809366377
"('experience_level', 'employment_type', 'job_title', 'salary', 'remote_ratio')",AdaBoost,0.87469195583263,14116.520809366377
"('employment_type', 'job_title', 'salary', 'employee_residence')",AdaBoost,0.8744408019616935,10572.775527589356
"('salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.873578321512992,10725.716083838934
"('work_year', 'employment_type', 'salary', 'employee_residence')",AdaBoost,0.8732340184243857,11631.989869737798
"('employment_type', 'salary', 'employee_residence', 'company_location')",AdaBoost,0.8717444177481913,10938.383835544724
"('employment_type', 'job_title', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.8694146383110634,14398.564463419425
"('job_title', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.8694146383110634,14398.564463419425
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence', 'company_location', 'company_size')",AdaBoost,0.8689325326766653,12717.136891875045
"('experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",AdaBoost,0.8645989512902894,13512.509197644655
"('experience_level', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.8645848386650755,15613.07020996978
"('experience_level', 'employment_type', 'salary', 'remote_ratio', 'company_size')",AdaBoost,0.8645848386650755,15613.07020996978
"('experience_level', 'job_title', 'salary')",AdaBoost,0.8633325886767156,14375.867230180069
"('experience_level', 'employment_type', 'job_title', 'salary')",AdaBoost,0.8633325886767156,14375.867230180069
"('work_year', 'employment_type', 'job_title', 'salary', 'employee_residence', 'company_location', 'company_size')",AdaBoost,0.8612369653698985,11738.274770223872
"('experience_level', 'job_title', 'salary', 'employee_residence')",DecisionTree,0.8606727755966842,3942.137019230769
"('employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_size')",DecisionTree,0.8606497725135808,3932.454326923077
"('work_year', 'employment_type', 'job_title', 'salary', 'employee_residence', 'company_location')",DecisionTree,0.8605073334489931,3831.0240384615386
"('work_year', 'employment_type', 'salary', 'company_location')",DecisionTree,0.860452772615127,3856.144230769231
"('work_year', 'job_title', 'salary', 'company_location')",DecisionTree,0.8604071887197252,3893.644230769231
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'remote_ratio', 'company_location')",DecisionTree,0.8603270322482162,3911.9375
"('work_year', 'experience_level', 'job_title', 'salary', 'company_location')",DecisionTree,0.8603253483108857,3870.610576923077
"('work_year', 'employment_type', 'job_title', 'salary', 'employee_residence', 'company_location', 'company_size')",DecisionTree,0.8603152570570615,3896.6826923076924
"('work_year', 'experience_level', 'job_title', 'salary', 'remote_ratio', 'company_location')",DecisionTree,0.8602963136511195,3942.298076923077
"('experience_level', 'employment_type', 'job_title', 'salary', 'remote_ratio', 'company_location')",DecisionTree,0.8602655886584744,3940.9126602564097
"('work_year', 'experience_level', 'salary', 'remote_ratio', 'company_location')",DecisionTree,0.8602636087971289,3928.1875
"('experience_level', 'employment_type', 'salary', 'employee_residence', 'company_size')",DecisionTree,0.8602579149267001,3989.8421474358975
"('job_title', 'salary', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.8602263745910476,3919.387019230769
"('work_year', 'employment_type', 'job_title', 'salary', 'employee_residence')",DecisionTree,0.8602242733917129,3872.8076923076924
"('work_year', 'experience_level', 'salary', 'company_location', 'company_size')",DecisionTree,0.8602138767239179,3922.1826923076924
"('experience_level', 'employment_type', 'job_title', 'salary', 'company_location', 'company_size')",DecisionTree,0.8602051795861436,3970.2235576923076
"('work_year', 'employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio')",DecisionTree,0.8601535905655842,3958.7403846153848
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio')",DecisionTree,0.8600806822987693,3973.793269230769
"('work_year', 'experience_level', 'employment_type', 'salary', 'employee_residence')",DecisionTree,0.8600630383885197,3945.8990384615386
"('work_year', 'employment_type', 'salary', 'employee_residence', 'company_location', 'company_size')",DecisionTree,0.859913759014347,3912.1490384615386
"('job_title', 'salary', 'employee_residence', 'company_size')",DecisionTree,0.8598798924259308,3975.502403846154
"('work_year', 'salary', 'employee_residence', 'company_location')",DecisionTree,0.8598760439129345,3938.451923076923
"('work_year', 'employment_type', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.8598215078149031,3957.519230769231
"('work_year', 'salary', 'company_location', 'company_size')",DecisionTree,0.8597851622913086,3990.0721153846152
"('employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.8597632324158352,3998.6033653846152
"('employment_type', 'salary', 'company_location', 'company_size')",DecisionTree,0.8597311772468427,3978.1646634615386
"('work_year', 'employment_type', 'salary', 'employee_residence', 'remote_ratio')",DecisionTree,0.8595780977780528,3992.966346153846
"('work_year', 'employment_type', 'job_title', 'salary', 'company_location')",DecisionTree,0.859562317533273,3972.673076923077
"('work_year', 'experience_level', 'employment_type', 'salary', 'employee_residence', 'company_location')",DecisionTree,0.8595517944504959,3981.0673076923076
"('work_year', 'experience_level', 'employment_type', 'salary', 'employee_residence', 'company_location', 'company_size')",DecisionTree,0.8595350413246443,4006.3509615384614
"('salary', 'employee_residence', 'company_location')",DecisionTree,0.8595067387027316,3978.0680517399273
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.8594948391773743,4021.0576923076924
"('experience_level', 'employment_type', 'salary', 'employee_residence', 'company_location', 'company_size')",DecisionTree,0.8594915488262171,4024.308493589743
"('experience_level', 'employment_type', 'salary', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.859479138881495,4009.0560897435894
"('employment_type', 'salary', 'remote_ratio', 'company_location')",DecisionTree,0.8594544539422613,3982.3125
"('experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence', 'company_location')",DecisionTree,0.8594438828585258,4050.954326923077
"('experience_level', 'salary', 'company_location', 'company_size')",DecisionTree,0.8594403687810451,4017.4911858974356
"('salary', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.8594255546103132,4004.9166666666665
"('salary', 'employee_residence', 'remote_ratio')",DecisionTree,0.8593746886686126,4040.449519230769
"('work_year', 'experience_level', 'salary', 'employee_residence', 'remote_ratio')",DecisionTree,0.8593501781232389,4077.298076923077
"('experience_level', 'job_title', 'salary', 'company_location', 'company_size')",DecisionTree,0.8593492714241591,4099.444711538462
"('work_year', 'experience_level', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.8593291637459591,4114.677884615385
"('work_year', 'experience_level', 'employment_type', 'salary', 'employee_residence', 'company_size')",DecisionTree,0.859301451859419,4034.091346153846
"('experience_level', 'job_title', 'salary', 'employee_residence', 'company_size')",DecisionTree,0.8592781774542417,4103.795673076923
"('experience_level', 'salary', 'employee_residence', 'remote_ratio')",DecisionTree,0.8592763106681338,4099.742788461538
"('experience_level', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_size')",DecisionTree,0.859249972920421,4134.204326923077
"('employment_type', 'job_title', 'salary', 'employee_residence', 'company_size')",DecisionTree,0.8592259147146383,4078.329326923077
"('experience_level', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.8592136558949586,4123.8004807692305
"('work_year', 'experience_level', 'employment_type', 'salary', 'company_location')",DecisionTree,0.8591251786028131,3937.3125
"('work_year', 'experience_level', 'job_title', 'salary', 'employee_residence', 'company_location')",DecisionTree,0.8591148299125264,4042.8990384615386
"('experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence')",DecisionTree,0.8591003580563115,4139.992788461538
"('experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio')",DecisionTree,0.8590233934546072,4138.47516025641
"('work_year', 'experience_level', 'salary', 'employee_residence', 'company_location')",DecisionTree,0.8589267848654762,3999.2884615384614
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.8588886603803969,4018.048076923077
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'company_location')",DecisionTree,0.858878484673607,4104.629807692308
"('work_year', 'job_title', 'salary', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.85887835951372,4050.5625
"('work_year', 'experience_level', 'job_title', 'salary', 'employee_residence', 'remote_ratio', 'company_location')",DecisionTree,0.8588112979136785,4060.1923076923076
"('work_year', 'job_title', 'salary', 'company_location', 'company_size')",DecisionTree,0.8588052749792427,4041.3509615384614
"('job_title', 'salary', 'company_location')",DecisionTree,0.8588003411293914,4073.012019230769
"('work_year', 'salary', 'employee_residence', 'remote_ratio')",DecisionTree,0.8587728062893449,4034.096153846154
"('work_year', 'experience_level', 'employment_type', 'salary', 'employee_residence', 'remote_ratio')",DecisionTree,0.8587209601292876,4082.0384615384614
"('experience_level', 'employment_type', 'job_title', 'salary', 'remote_ratio', 'company_location', 'company_size')",DecisionTree,0.8587155549807275,4108.002403846154
"('work_year', 'employment_type', 'salary', 'employee_residence', 'remote_ratio', 'company_size')",DecisionTree,0.8587101490664099,4132.399038461538
